title,category,severity,description,resolution
WiFi Connectivity Issue,Account,P1,WiFi Connectivity Issue reported by employee. Incident ID INC0166. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Blue Screen Error,Server,P4,Blue Screen Error reported by employee. Incident ID INC0167. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Disk Space Alert,Security,P1,Disk Space Alert reported by employee. Incident ID INC0168. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Outlook Not Syncing,Email,P1,Outlook Not Syncing reported by employee. Incident ID INC0169. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
VPN Connection Failure,Email,P4,VPN Connection Failure reported by employee. Incident ID INC0170. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Blue Screen Error,Software,P1,Blue Screen Error reported by employee. Incident ID INC0171. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Laptop Slow Performance,Hardware,P2,Laptop Slow Performance reported by employee. Incident ID INC0172. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Account Locked,Network,P3,Account Locked reported by employee. Incident ID INC0173. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
WiFi Connectivity Issue,Network,P1,WiFi Connectivity Issue reported by employee. Incident ID INC0174. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Disk Space Alert,Account,P2,Disk Space Alert reported by employee. Incident ID INC0175. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Software Installation Failed,Database,P1,Software Installation Failed reported by employee. Incident ID INC0176. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Server Down,Database,P1,Server Down reported by employee. Incident ID INC0177. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
VPN Connection Failure,Software,P4,VPN Connection Failure reported by employee. Incident ID INC0178. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Blue Screen Error,Hardware,P4,Blue Screen Error reported by employee. Incident ID INC0179. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
BitLocker Recovery,Account,P2,BitLocker Recovery reported by employee. Incident ID INC0180. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Server Down,Server,P3,Server Down reported by employee. Incident ID INC0181. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
MFA Failure,Hardware,P3,MFA Failure reported by employee. Incident ID INC0182. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Outlook Not Syncing,Hardware,P1,Outlook Not Syncing reported by employee. Incident ID INC0183. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Network Latency,Account,P3,Network Latency reported by employee. Incident ID INC0184. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
DNS Resolution Failure,Database,P4,DNS Resolution Failure reported by employee. Incident ID INC0185. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
BitLocker Recovery,Database,P2,BitLocker Recovery reported by employee. Incident ID INC0186. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
MFA Failure,Server,P3,MFA Failure reported by employee. Incident ID INC0187. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
File Share Access Denied,Hardware,P1,File Share Access Denied reported by employee. Incident ID INC0188. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Account Locked,Database,P4,Account Locked reported by employee. Incident ID INC0189. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Database Connection Error,Network,P3,Database Connection Error reported by employee. Incident ID INC0190. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Disk Space Alert,Hardware,P2,Disk Space Alert reported by employee. Incident ID INC0191. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
MFA Failure,Server,P3,MFA Failure reported by employee. Incident ID INC0192. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Database Connection Error,Network,P2,Database Connection Error reported by employee. Incident ID INC0193. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Account Locked,Network,P4,Account Locked reported by employee. Incident ID INC0194. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Database Connection Error,Hardware,P4,Database Connection Error reported by employee. Incident ID INC0195. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Blue Screen Error,Security,P2,Blue Screen Error reported by employee. Incident ID INC0196. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
BitLocker Recovery,Account,P4,BitLocker Recovery reported by employee. Incident ID INC0197. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Software Installation Failed,Software,P4,Software Installation Failed reported by employee. Incident ID INC0198. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
DNS Resolution Failure,Account,P2,DNS Resolution Failure reported by employee. Incident ID INC0199. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Server Down,Email,P2,Server Down reported by employee. Incident ID INC0200. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Blue Screen Error,Email,P3,Blue Screen Error reported by employee. Incident ID INC0201. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Email Delivery Failure,Hardware,P2,Email Delivery Failure reported by employee. Incident ID INC0202. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
SSL Certificate Expired,Network,P1,SSL Certificate Expired reported by employee. Incident ID INC0203. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
BitLocker Recovery,Hardware,P4,BitLocker Recovery reported by employee. Incident ID INC0204. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Blue Screen Error,Server,P1,Blue Screen Error reported by employee. Incident ID INC0205. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Outlook Not Syncing,Security,P1,Outlook Not Syncing reported by employee. Incident ID INC0206. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Blue Screen Error,Hardware,P3,Blue Screen Error reported by employee. Incident ID INC0207. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Database Connection Error,Software,P3,Database Connection Error reported by employee. Incident ID INC0208. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
BitLocker Recovery,Hardware,P2,BitLocker Recovery reported by employee. Incident ID INC0209. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
WiFi Connectivity Issue,Software,P4,WiFi Connectivity Issue reported by employee. Incident ID INC0210. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
VPN Connection Failure,Database,P2,VPN Connection Failure reported by employee. Incident ID INC0211. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Password Reset,Server,P1,Password Reset reported by employee. Incident ID INC0212. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
SSL Certificate Expired,Security,P4,SSL Certificate Expired reported by employee. Incident ID INC0213. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Server Down,Security,P3,Server Down reported by employee. Incident ID INC0214. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
DNS Resolution Failure,Database,P1,DNS Resolution Failure reported by employee. Incident ID INC0215. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
File Share Access Denied,Network,P2,File Share Access Denied reported by employee. Incident ID INC0216. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Server Down,Account,P2,Server Down reported by employee. Incident ID INC0217. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Printer Offline,Server,P2,Printer Offline reported by employee. Incident ID INC0218. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
SSL Certificate Expired,Email,P1,SSL Certificate Expired reported by employee. Incident ID INC0219. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
MFA Failure,Security,P3,MFA Failure reported by employee. Incident ID INC0220. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Database Connection Error,Hardware,P1,Database Connection Error reported by employee. Incident ID INC0221. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Database Connection Error,Hardware,P4,Database Connection Error reported by employee. Incident ID INC0222. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Password Reset,Software,P2,Password Reset reported by employee. Incident ID INC0223. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
VPN Connection Failure,Security,P1,VPN Connection Failure reported by employee. Incident ID INC0224. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Database Connection Error,Software,P3,Database Connection Error reported by employee. Incident ID INC0225. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Password Reset,Hardware,P4,Password Reset reported by employee. Incident ID INC0226. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Laptop Slow Performance,Account,P1,Laptop Slow Performance reported by employee. Incident ID INC0227. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
WiFi Connectivity Issue,Email,P3,WiFi Connectivity Issue reported by employee. Incident ID INC0228. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Email Delivery Failure,Database,P3,Email Delivery Failure reported by employee. Incident ID INC0229. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Firewall Block,Security,P2,Firewall Block reported by employee. Incident ID INC0230. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
BitLocker Recovery,Hardware,P1,BitLocker Recovery reported by employee. Incident ID INC0231. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
BitLocker Recovery,Database,P4,BitLocker Recovery reported by employee. Incident ID INC0232. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Disk Space Alert,Security,P4,Disk Space Alert reported by employee. Incident ID INC0233. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
BitLocker Recovery,Security,P3,BitLocker Recovery reported by employee. Incident ID INC0234. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Outlook Not Syncing,Account,P2,Outlook Not Syncing reported by employee. Incident ID INC0235. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Account Locked,Database,P4,Account Locked reported by employee. Incident ID INC0236. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
File Share Access Denied,Software,P2,File Share Access Denied reported by employee. Incident ID INC0237. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
MFA Failure,Database,P4,MFA Failure reported by employee. Incident ID INC0238. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Laptop Slow Performance,Database,P1,Laptop Slow Performance reported by employee. Incident ID INC0239. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
WiFi Connectivity Issue,Database,P4,WiFi Connectivity Issue reported by employee. Incident ID INC0240. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Laptop Slow Performance,Database,P3,Laptop Slow Performance reported by employee. Incident ID INC0241. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Firewall Block,Database,P2,Firewall Block reported by employee. Incident ID INC0242. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Laptop Slow Performance,Account,P2,Laptop Slow Performance reported by employee. Incident ID INC0243. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
BitLocker Recovery,Hardware,P3,BitLocker Recovery reported by employee. Incident ID INC0244. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Email Delivery Failure,Account,P1,Email Delivery Failure reported by employee. Incident ID INC0245. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
SSL Certificate Expired,Account,P3,SSL Certificate Expired reported by employee. Incident ID INC0246. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Network Latency,Security,P4,Network Latency reported by employee. Incident ID INC0247. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Database Connection Error,Security,P2,Database Connection Error reported by employee. Incident ID INC0248. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Database Connection Error,Software,P2,Database Connection Error reported by employee. Incident ID INC0249. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Account Locked,Security,P4,Account Locked reported by employee. Incident ID INC0250. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
VPN Connection Failure,Account,P4,VPN Connection Failure reported by employee. Incident ID INC0251. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Printer Offline,Email,P1,Printer Offline reported by employee. Incident ID INC0252. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Software Installation Failed,Email,P4,Software Installation Failed reported by employee. Incident ID INC0253. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
SSL Certificate Expired,Database,P3,SSL Certificate Expired reported by employee. Incident ID INC0254. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Software Installation Failed,Database,P4,Software Installation Failed reported by employee. Incident ID INC0255. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
MFA Failure,Hardware,P1,MFA Failure reported by employee. Incident ID INC0256. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Disk Space Alert,Software,P3,Disk Space Alert reported by employee. Incident ID INC0257. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
BitLocker Recovery,Security,P1,BitLocker Recovery reported by employee. Incident ID INC0258. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Email Delivery Failure,Hardware,P3,Email Delivery Failure reported by employee. Incident ID INC0259. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
MFA Failure,Network,P3,MFA Failure reported by employee. Incident ID INC0260. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Firewall Block,Email,P1,Firewall Block reported by employee. Incident ID INC0261. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Email Delivery Failure,Network,P2,Email Delivery Failure reported by employee. Incident ID INC0262. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Database Connection Error,Network,P2,Database Connection Error reported by employee. Incident ID INC0263. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Password Reset,Hardware,P1,Password Reset reported by employee. Incident ID INC0264. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Email Delivery Failure,Hardware,P2,Email Delivery Failure reported by employee. Incident ID INC0265. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
MFA Failure,Software,P2,MFA Failure reported by employee. Incident ID INC0266. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Password Reset,Security,P4,Password Reset reported by employee. Incident ID INC0267. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Database Connection Error,Network,P1,Database Connection Error reported by employee. Incident ID INC0268. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
VPN Connection Failure,Network,P4,VPN Connection Failure reported by employee. Incident ID INC0269. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Printer Offline,Software,P4,Printer Offline reported by employee. Incident ID INC0270. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
SSL Certificate Expired,Email,P2,SSL Certificate Expired reported by employee. Incident ID INC0271. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Software Installation Failed,Email,P3,Software Installation Failed reported by employee. Incident ID INC0272. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Network Latency,Network,P1,Network Latency reported by employee. Incident ID INC0273. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
File Share Access Denied,Server,P3,File Share Access Denied reported by employee. Incident ID INC0274. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Database Connection Error,Network,P1,Database Connection Error reported by employee. Incident ID INC0275. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Outlook Not Syncing,Network,P1,Outlook Not Syncing reported by employee. Incident ID INC0276. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
File Share Access Denied,Software,P2,File Share Access Denied reported by employee. Incident ID INC0277. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
VPN Connection Failure,Email,P2,VPN Connection Failure reported by employee. Incident ID INC0278. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Account Locked,Hardware,P3,Account Locked reported by employee. Incident ID INC0279. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Network Latency,Network,P3,Network Latency reported by employee. Incident ID INC0280. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Server Down,Network,P3,Server Down reported by employee. Incident ID INC0281. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
File Share Access Denied,Email,P2,File Share Access Denied reported by employee. Incident ID INC0282. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Printer Offline,Network,P1,Printer Offline reported by employee. Incident ID INC0283. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Blue Screen Error,Software,P2,Blue Screen Error reported by employee. Incident ID INC0284. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Disk Space Alert,Database,P3,Disk Space Alert reported by employee. Incident ID INC0285. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Email Delivery Failure,Security,P1,Email Delivery Failure reported by employee. Incident ID INC0286. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
MFA Failure,Database,P3,MFA Failure reported by employee. Incident ID INC0287. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Password Reset,Email,P4,Password Reset reported by employee. Incident ID INC0288. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Password Reset,Software,P4,Password Reset reported by employee. Incident ID INC0289. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Email Delivery Failure,Network,P3,Email Delivery Failure reported by employee. Incident ID INC0290. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
BitLocker Recovery,Server,P3,BitLocker Recovery reported by employee. Incident ID INC0291. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Password Reset,Hardware,P2,Password Reset reported by employee. Incident ID INC0292. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
MFA Failure,Account,P2,MFA Failure reported by employee. Incident ID INC0293. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
VPN Connection Failure,Database,P1,VPN Connection Failure reported by employee. Incident ID INC0294. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Network Latency,Server,P3,Network Latency reported by employee. Incident ID INC0295. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Laptop Slow Performance,Network,P1,Laptop Slow Performance reported by employee. Incident ID INC0296. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
VPN Connection Failure,Database,P2,VPN Connection Failure reported by employee. Incident ID INC0297. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Blue Screen Error,Hardware,P4,Blue Screen Error reported by employee. Incident ID INC0298. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Email Delivery Failure,Security,P2,Email Delivery Failure reported by employee. Incident ID INC0299. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
WiFi Connectivity Issue,Server,P2,WiFi Connectivity Issue reported by employee. Incident ID INC0300. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Email Delivery Failure,Email,P4,Email Delivery Failure reported by employee. Incident ID INC0301. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Disk Space Alert,Server,P3,Disk Space Alert reported by employee. Incident ID INC0302. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Firewall Block,Database,P2,Firewall Block reported by employee. Incident ID INC0303. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
SSL Certificate Expired,Software,P3,SSL Certificate Expired reported by employee. Incident ID INC0304. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
SSL Certificate Expired,Server,P4,SSL Certificate Expired reported by employee. Incident ID INC0305. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Blue Screen Error,Software,P4,Blue Screen Error reported by employee. Incident ID INC0306. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Blue Screen Error,Server,P4,Blue Screen Error reported by employee. Incident ID INC0307. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Network Latency,Software,P4,Network Latency reported by employee. Incident ID INC0308. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Server Down,Email,P2,Server Down reported by employee. Incident ID INC0309. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
File Share Access Denied,Database,P1,File Share Access Denied reported by employee. Incident ID INC0310. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Disk Space Alert,Server,P2,Disk Space Alert reported by employee. Incident ID INC0311. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Outlook Not Syncing,Software,P2,Outlook Not Syncing reported by employee. Incident ID INC0312. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Outlook Not Syncing,Network,P2,Outlook Not Syncing reported by employee. Incident ID INC0313. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
File Share Access Denied,Software,P1,File Share Access Denied reported by employee. Incident ID INC0314. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Software Installation Failed,Network,P2,Software Installation Failed reported by employee. Incident ID INC0315. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Software Installation Failed,Software,P4,Software Installation Failed reported by employee. Incident ID INC0316. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Firewall Block,Network,P3,Firewall Block reported by employee. Incident ID INC0317. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Software Installation Failed,Network,P4,Software Installation Failed reported by employee. Incident ID INC0318. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
SSL Certificate Expired,Server,P1,SSL Certificate Expired reported by employee. Incident ID INC0319. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Disk Space Alert,Account,P3,Disk Space Alert reported by employee. Incident ID INC0320. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
MFA Failure,Email,P4,MFA Failure reported by employee. Incident ID INC0321. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Laptop Slow Performance,Hardware,P4,Laptop Slow Performance reported by employee. Incident ID INC0322. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
BitLocker Recovery,Database,P4,BitLocker Recovery reported by employee. Incident ID INC0323. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Printer Offline,Database,P1,Printer Offline reported by employee. Incident ID INC0324. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Blue Screen Error,Server,P2,Blue Screen Error reported by employee. Incident ID INC0325. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
File Share Access Denied,Database,P2,File Share Access Denied reported by employee. Incident ID INC0326. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
File Share Access Denied,Security,P2,File Share Access Denied reported by employee. Incident ID INC0327. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Outlook Not Syncing,Security,P3,Outlook Not Syncing reported by employee. Incident ID INC0328. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Account Locked,Account,P3,Account Locked reported by employee. Incident ID INC0329. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
DNS Resolution Failure,Software,P2,DNS Resolution Failure reported by employee. Incident ID INC0330. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
BitLocker Recovery,Server,P4,BitLocker Recovery reported by employee. Incident ID INC0331. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
